sentence,target
넷플릭스에서 키즈용 애니메이션을 검색해줘서 아이들을 위한 것을 찾아보자.,2
넷플릭스 검색 결과에서 내가 아직 안 본 영화가 뭐가 있는지 알려줘.,2
이번 주말에 친구들과 넷플릭스에서 검색한 영화를 볼 예정이야.,2
초보자를 위한 캠핑 체크리스트를 구글에 검색해줘.,1
이 호텔의 후기와 평점을 구글에 검색해줘서 예약할지 말지 결정하자.,1
애플 TV에서 볼만한 스릴러 영화 추천 받아보려고 긴장감 넘치는 걸로 찾아볼까.,0
넷플릭스 검색 결과 중에서 내가 아직 안 본 영화를 우선적으로 보여줘.,2
오늘 밤 어떤 영화가 상영 중인지 구글에 검색해줘.,1
어 유튜브에서 좋은 자기개발 책들 리뷰 좀 찾아볼까?,3
넷플릭스 검색으로 어린이용 애니메이션을 찾아봤어.,2
애플 TV에서 그 인기 있는 요리 프로그램 시리즈 다시 볼 수 있을까.,0
방금 그 노래 가사가 궁금한데 구글에 검색해줘.,1
아이들이 좋아할 만화 영화 유튜브에서 추천 받아볼까?,3
유튜브에서 요즘 인기 있는 뷰티 블로거 찾아보자?,3
저번에 놓친 애플 TV의 그 스포츠 경기 하이라이트 찾아보자.,0
유튜브에서 새로 나온 팝송 뮤직비디오 찾아보는 건 어때?,3
어제 놓친 그 TV쇼 에피소드 애플 TV에서 다시 볼 수 있을까.,0
넷플릭스 검색으로 과학과 기술 관련 다큐멘터리 목록을 만들어줘.,2
유튜브에서 0K 자연 풍경 영상 검색해줘?,3
넷플릭스에서 검색한 영화 목록을 기반으로 나만의 영화 추천을 해줘.,2
해외여행 갈 때 필요한 준비물 목록을 구글에 검색해줘.,1
해외 여행 필수 준비물 목록을 구글에 검색해줘.,1
넷플릭스 검색을 통해 내가 관심 있는 주제를 다룬 영화를 찾아줘.,2
유튜브에서 아침 요가 루틴 영상 검색해줘?,3
가족 여행지 추천을 구글에 검색해줘.,1
애플 TV에서 최신 패션 트렌드에 관한 프로그램 찾아보자.,0
유튜브에서 그 유명한 셰프의 비건 요리법 찾아보자?,3
넷플릭스에서 검색한 컬렉션 중에서 최고의 영화를 추천해줘.,2
유튜브에서 최근 인기 있는 팟캐스트 추천 좀 찾아봐야겠다?,3
오늘 저녁에 볼만한 새로운 코미디 영화 애플 TV에서 찾아보자.,0
전자책 대여 방법을 구글에 검색해줘.,1
유튜브에서 요가 초보자를 위한 시리즈 찾아보자?,3
이번 주말에 볼만한 애플 TV 오리지널 시리즈 뭐가 있을까.,0
애플 TV에서 이번 주 아이언맨 개봉할까.,0
운동하기 전에 유튜브에서 좋은 스트레칭 비디오 좀 찾아볼래?,3
집 근처 베스트 카페를 구글에 검색해줘.,1
넷플릭스에서 검색한 영화 목록을 다른 사람과 공유하고 싶어.,2
유튜브에서 초보자를 위한 사진 촬영 팁 검색해줘?,3
주변의 공예 워크샵 일정을 구글에 검색해줘.,1
넷플릭스 검색 결과에서 내가 좋아하는 감독의 작품을 우선적으로 보여줘.,2
애플 TV에서 어떤 신나는 음악 콘서트 라이브 스트리밍이 있는지 찾아보고 싶어.,0
유튜브에서 마음 챙김 명상 가이드 검색해줘?,3
유튜브에서 DIY 홈 데코 프로젝트 찾아볼까?,3
내일은 친구들과 함께 넷플릭스에서 검색한 영화를 시청할 거야.,2
오늘 저녁에는 무엇을 볼까 애플 TV에서 추천하는 새로운 드라마 시리즈를 찾아보자.,0
유튜브에서 지난 주말 프리미어리그 하이라이트 검색해줘?,3
애플 TV에서 주말에 볼만한 가족용 애니메이션 영화 추천 찾아보려고.,0
다음 주에 개최되는 공연 스케줄을 구글에 검색해줘서 티켓을 예매할 계획이야.,1
이 식당의 메뉴를 구글에 검색해줘서 어떤 음식이 있는지 알아봐.,1
애플 TV에서 이번 주 인기 있는 다큐멘터리 시리즈 찾아보자.,0
초보자를 위한 프로그래밍 언어를 구글에 검색해줘.,1
넷플릭스 검색 결과로 인기 있는 시리즈를 찾아보고 있어.,2
넷플릭스 검색을 통해 오늘 저녁에 볼 영화를 추천해줘.,2
넷플릭스 검색을 통해 내가 좋아하는 배우가 출연한 영화를 찾았어.,2
넷플릭스에서 검색해서 찾은 영화 중에 좋았던 거 있어.,2
유튜브에서 코미디 영화 리뷰 모음 검색해줘?,3
넷플릭스에 있는 코미디 영화 중에서 웃긴 것을 추천해줘.,2
꽃집 창업에 필요한 정보를 구글에 검색해줘.,1
유튜브에서 웰빙과 건강에 관한 강좌 찾아보려고?,3
저녁에 볼 만한 가볍고 재미있는 TV쇼 애플 TV에서 찾아보자.,0
마라톤 대회 신청 방법을 구글에 검색해줘.,1
가족들과 함께 볼 수 있는 따뜻한 영화 유튜브에서 찾아보자?,3
저번에 놓친 애플 TV의 그 TV 쇼 에피소드 찾아볼래.,0
내일의 교통 상황을 구글에 검색해줘서 출퇴근 계획을 세워보자.,1
유튜브에서 3D 모델링 기초 강좌 검색해줘?,3
넷플릭스에서 검색한 영화 중에서 로맨틱 코미디 추천해줄래.,2
홈 오피스 꾸미기 아이디어를 구글에 검색해줘.,1
유튜브에서 편안한 재즈 음악 플레이리스트 찾아볼래?,3
애플 TV에서 새로운 과학 다큐멘터리 뭐가 있는지 찾아볼까.,0
다음 주에 예정된 휴가지의 여행 가이드를 구글에 검색해줘서 정보를 모아보자.,1
유튜브에서 TED 강연 모음 검색해줘?,3
유튜브에서 가볍게 볼 수 있는 여행 브이로그 있나 찾아보려고?,3
애플 TV에서 요가와 명상 가이드 비디오 좀 찾아볼래.,0
애플 TV에서 스포츠 경기 하이라이트 찾아볼래 어제 놓쳤거든.,0
애플 TV에서 어떤 어린이용 프로그램이 있는지 찾아보자.,0
유튜브에서 그 유명한 밴드의 라이브 공연 찾아봐야겠다?,3
애플 TV에서 스릴러 영화 중에서 가장 흥미로운 걸 추천해줘.,0
그 유명한 작가의 강연 애플 TV에서 찾을 수 있을까.,0
넷플릭스 검색으로 나와 함께 볼 만한 영화를 추천해줘.,2
유튜브에서 파스타 요리법 쉬운 버전 검색해줘?,3
이 근처에 있는 피트니스 센터 위치를 구글에 검색해줘.,1
유튜브에서 히사이시 조의 노래 모음을 검색해줘?,3
넷플릭스에 있는 내가 좋아하는 배우의 작품을 모두 보여줘.,2
온라인 사진 강좌 추천을 구글에 검색해줘.,1
내일 아침 일어나서 구글에 검색해줘야 할 일 목록을 만들어 줘.,1
애플 TV에서 추천하는 이번 주 최신 스포츠 경기 하이라이트 찾아보자.,0
요즘 인기 있는 요리 프로그램을 구글에 검색해줘서 요리 레시피를 배워보자.,1
요즘 유행하는 패션 스타일을 구글에 검색해줘서 옷을 살 때 참고하자.,1
지역 축제 일정이 궁금해 구글에 검색해줘.,1
친구가 얘기했던 그 코미디 쇼 애플 TV에서 찾을 수 있을까.,0
주말에 볼만한 영화 추천을 구글에 검색해줘.,1
애플 TV에서 퀸스 갬빗이라는 영화는 어떤 내용이야.,0
유튜브에서 세계 여행 브이로그 시리즈 검색해줘?,3
유튜브에서 이번 주 인기 있는 과학 뉴스 찾아보려고?,3
근처 데이트 코스 추천을 구글에 검색해줘.,1
친구가 추천해준 그 팝송 유튜브에서 한번 들어볼까?,3
유튜브에서 어떻게 스트레스를 관리하는지에 대한 팁 찾아볼까?,3
유튜브에서 최근에 나온 공포 영화 리뷰 찾아볼래?,3
유튜브에서 매일 아침에 할 수 있는 명상 가이드 찾아보자?,3
넷플릭스 검색으로 가장 최신 업데이트된 코미디 프로그램을 찾아봤어.,2
유튜브에서 생태학 관련 강의 시리즈 검색해줘?,3
오늘의 건강 팁을 구글에 검색해줘서 건강한 라이프스타일을 유지하자.,1
애플 TV에서 볼 수 있는 최신 뉴스 프로그램 찾아보려고.,0
최신 패션 트렌드를 구글에 검색해줘.,1
넷플릭스 검색을 통해 새로운 스릴러 시리즈를 찾아보고 있어.,2
유튜브에서 라틴 음악 플레이리스트 검색해줘?,3
유튜브에서 집에서 할 수 있는 간단한 정원 가꾸기 영상 찾아보자?,3
넷플릭스에서 검색한 컬렉션 중에서 최고의 영화를 추천해봐.,2
유튜브에서 클래식 기타 연주 모음 검색해줘?,3
유튜브에서 가정용 로봇 기술 동향 검색해줘?,3
최근에 나온 과학적 발견에 관한 뉴스를 구글에 검색해줘서 읽어보자.,1
내가 좋아하는 배우의 작품을 애플 TV에서 검색해봐줘.,0
넷플릭스 검색으로 가장 최근에 추가된 스릴러 영화를 찾아줘.,2
넷플릭스 검색을 이용해서 공부하면서 볼 수 있는 교육 프로그램을 찾아줘.,2
키즈용 애니메이션을 애플 TV로 검색해줘.,0
내가 아직 안 본 넷플릭스 오리지널 시리즈를 알려줄래.,2
이번 주말에 가족과 함께 볼 만한 영화 애플 TV에서 찾아봐야겠어.,0
유튜브에서 과학 다큐멘터리 시리즈 검색해줘?,3
넷플릭스 검색을 이용해서 가족과 함께 볼 만한 프로그램을 찾아줘.,2
유튜브에서 다가오는 여행지에 대한 정보 영상 찾아보자?,3
내일 아침 일어나서 할 일 목록을 구글에 검색해줘서 계획을 세워봐.,1
넷플릭스에서 전 세계에서 인기 있는 영화를 추천해줘.,2
최근에 인기 있는 레스토랑 리스트 좀 구글에 검색해줘.,1
박물관 오픈 시간을 구글에 검색해줘.,1
어제 친구가 추천해준 그 코미디 쇼 유튜브에서 한번 찾아보자?,3
넷플릭스에서 검색한 영화 중에서 나와 친구들이 함께 볼 만한 것을 추천해줘.,2
최근 인기 있는 팟캐스트를 구글에 검색해줘.,1
유튜브에서 아이들이 좋아할 만화 영화 추천 좀 찾아볼까?,3
유튜브에서 새로운 언어 배우기 초보자 가이드 찾아보려고?,3
이번 달에 발표된 과학 연구 결과를 구글에 검색해줘서 최신 정보를 업데이트하자.,1
넷플릭스 검색으로 오늘 밤에 볼 스릴러 영화 목록을 만들어줘.,2
넷플릭스 검색 결과 중에서 내가 아직 안 본 영화를 먼저 보려고 해.,2
친구가 추천한 그 새로운 시리즈 애플 TV에서 찾아보려고.,0
넷플릭스 검색 결과 중에서 나와 어울릴만한 영화를 찾아봐줘.,2
어제 넷플릭스에서 검색한 영화가 재밌었어.,2
넷플릭스에서 검색한 결과 중에서 나와 어울리는 영화가 뭐 있을까.,2
애플 TV에서 톱 건이라는 영화를 재생할 수 있을까.,0
넷플릭스에서 히스토리칼 드라마 중에서 인기 있는 것을 찾아봐줘.,2
최신 모바일 게임 순위를 구글에 검색해줘.,1
이 주변에 있는 주요 미술관을 구글에 검색해줘서 전시회 정보를 확인해봐.,1
애플 TV에서 인터스텔라라는 영화를 찾아봤어.,0
유튜브에서 고양이 행동 이해하기 영상 검색해줘?,3
넷플릭스 검색 결과 중에서 나와 어울릴만한 영화를 추천해줘.,2
넷플릭스에서 검색한 영화 중에서 가장 인기 있는 것은.,2
이번 주말에 볼만한 로맨스 영화 애플 TV에서 추천 받아보려고.,0
오늘 저녁에 볼만한 넷플릭스 드라마 추천 유튜브에서 검색해보자?,3
유튜브에서 인공지능 최신 뉴스 검색해줘?,3
유튜브에서 점심 시간에 볼 가벼운 코미디 쇼 찾아보자?,3
애플 TV에서 최근 인기 있는 실화 기반 영화 찾아보자.,0
넷플릭스에서 검색한 영화 목록을 다시 확인하려고 해.,2
오늘 애플 TV에서 어떤 날씨가 예상되는지 검색해줘.,0
효과적인 요가 자세들을 구글에 검색해줘.,1
아 유튜브에서 저번에 놓친 그 팟캐스트 에피소드 찾아봐야겠다?,3
가까운 도서관 위치를 구글에 검색해줘.,1
피트니스 트래커 비교 정보를 구글에 검색해줘.,1
유튜브에서 그 새로 나온 게임 리뷰 좀 볼까? 구매하기 전에 참고하려고?,3
재택근무 효율성 높이는 팁을 구글에 검색해줘.,1
넷플릭스에서 검색한 결과 중에서 나만의 플레이리스트를 만들 수 있을까.,2
넷플릭스에서 검색한 시리즈 중에서 가장 인상깊은 건 뭐야.,2
저번에 봤던 그 재미있는 애니메이션 유튜브에서 다시 찾아볼 수 있을까?,3
유튜브에서 반려동물 관리 팁 비디오 검색해줘?,3
유튜브에서 집에서 할 수 있는 운동 루틴 검색해줘?,3
유튜브에서 어제 놓친 그 스포츠 경기 하이라이트 찾아봐야겠다?,3
유튜브에서 어제 방영된 그 TV쇼 하이라이트 찾아봐야겠어?,3
다음 주 날씨 예보 좀 구글에 검색해줘.,1
넷플릭스에서 검색한 결과 중에서 가장 평가가 높은 영화는 뭐야.,2
유튜브에서 요가 초보자 가이드 검색해줘?,3
아이와 함께 갈 수 있는 테마파크를 구글에 검색해줘.,1
넷플릭스에서 검색한 결과 중에서 가장 감동적인 영화를 찾아봐줘.,2
친구가 추천해준 그 드라마 애플 TV에서 찾아볼래.,0
오늘 저녁 메뉴를 구글에 검색해줘서 레시피 아이디어를 얻어보자.,1
오늘 밤에 애플 TV에서 로맨틱 코미디 영화 찾아볼까.,0
내일 애플 TV로 볼 수 있는 TV 프로그램 스케줄을 검색해봐줘.,0
애플 TV로 운동 동영상을 검색해보고 싶어 홈 트레이닝이야.,0
저번 주에 놓친 애플 TV의 그 유명한 예능 프로그램 다시 볼 수 있을까.,0
이 작가의 새로운 책을 구글에 검색해줘서 출판일을 확인해봐.,1
애플 TV에서 재미있는 스탠드업 코미디 추천 좀 찾아볼까.,0
올해 크리스마스에 애플 TV로 볼 수 있는 특별한 영화가 있을까.,0
애플 TV로 요즘 인기 있는 드라마 중에서 추천해줘.,0
유튜브에서 최신 K-팝 뮤직비디오 검색해줘?,3
유튜브에서 이번 주말에 볼만한 단편 영화 추천 좀 찾아볼까?,3
애플 TV로 요리 레시피 검색해보고 싶어 어떤 음식이 좋을까.,0
최신 스마트워치 기능 비교를 구글에 검색해줘.,1
오늘 저녁에 넷플릭스에서 검색한 새로운 드라마 볼 거야.,2
애플 TV에서 그 유명한 감독의 최신 영화 찾아보자 뭔가 인상적인 걸로.,0
넷플릭스 검색을 통해 새로운 스릴러 시리즈를 찾아보고 있어.,2
넷플릭스에서 검색한 영화 중에서 가장 감동적인 것은 뭐야.,2
넷플릭스 검색을 통해 내가 관심 있는 주제를 다룬 영화를 찾아줘.,2
오늘의 주요 뉴스를 구글에 검색해줘서 최신 소식을 알려줘.,1
유튜브에서 요즘 유행하는 패션 트렌드 좀 찾아봐야겠어?,3
필라테스 기초 동작 유튜브에서 찾아볼까? 집에서 해보려고?,3
유튜브에서 원예 기초 가이드 영상 찾아보려고?,3
넷플릭스 검색을 통해 새로운 다큐멘터리 시리즈를 찾았어.,2
애플 TV에서 유명한 다큐멘터리를 찾아봤어.,0
애플 TV에서 어바웃 타임이라는 영화는 어디서 볼 수 있을까.,0
오늘 애플 TV에서 어떤 스포츠 경기가 예정돼 있는지 검색해봐.,0
애플 TV에서 추천하는 최신 트렌드 영화들을 찾아보고 싶어.,0
애플 TV에서 외국어 배우기 프로그램 좀 찾아볼까.,0
애플 TV에서 추천하는 어린이 교육 프로그램 좀 찾아볼까.,0
넷플릭스에서 내가 좋아하는 감독의 작품을 찾아줘.,2
저녁에 애플 TV에서 볼 만한 가벼운 코미디 쇼 찾아보려고.,0
애플 TV로 연예 소식을 검색해보고 싶어 무슨 일이 있었어.,0
유튜브에서 저녁에 볼만한 가족 영화 추천 좀 찾아볼까?,3
넷플릭스 검색 결과에서 가장 최신에 추가된 코미디 시리즈를 찾아봤어.,2
여행 계획 중인데 호텔 가격을 비교하기 위해 구글에 검색해줘서 최저가를 찾아보자.,1
오늘 저녁에 애플 TV에서 가족과 함께 볼 수 있는 영화 찾아보려고.,0
유튜브에서 베이킹 클래스 초급 강좌 검색해줘?,3
애플 TV로 스포츠 경기의 하이라이트를 검색해보고 싶어.,0
넷플릭스에서 검색한 결과 중에서 내가 관심 있는 장르는 뭐야.,2
근처에 좋은 이탈리안 레스토랑을 구글에 검색해줘.,1
넷플릭스 검색을 이용해서 동시에 공부하면서 볼 만한 프로그램을 찾고 있어.,2
요즘 인기 있는 미국 드라마 시리즈를 구글에 검색해줘서 어떤 것을 시청해야 할지 알아보자.,1
넷플릭스에서 검색한 결과를 다시 확인하려고 해.,2
넷플릭스 검색 결과 중에서 내가 아직 안 본 영화를 추천해줘.,2
이 주변에 있는 자연 공원을 구글에 검색해줘서 하이킹하기 좋은 곳을 찾아보자.,1
채식 요리 레시피를 구글에 검색해줘.,1
넷플릭스에서 검색한 영화 중에서 가장 평점이 높은 것이 뭐야.,2
애플 TV에서 그 유명한 배우의 최신 영화 찾아볼까.,0
건강한 다이어트 식단을 구글에 검색해줘.,1
커플을 위한 요리 클래스를 구글에 검색해줘.,1
어제 방송된 그 TV 쇼 에피소드 애플 TV에서 다시 볼 수 있을까.,0
넷플릭스 검색을 통해 좋은 영화를 찾고 있어.,2
유튜브에서 스탠드업 코미디 최신 공연 검색해줘?,3
넷플릭스에서 과학 기술 관련 다큐멘터리를 검색해줘.,2
넷플릭스 검색을 통해 외국어 학습에 도움이 되는 프로그램을 찾아줘.,2
온라인 쇼핑할 때 상품 리뷰를 구글에 검색해줘서 최상의 제품을 찾아보자.,1
이 주변에 있는 좋은 레스토랑을 구글에 검색해줘서 예약해야겠어.,1
넷플릭스 검색 결과 중에서 가장 인기 있는 시리즈가 뭐야.,2
저번에 언급했던 그 책의 저자가 누구였는지 구글에 검색해줘.,1
넷플릭스 검색 결과 중에서 가장 인기 있는 드라마가 뭐야.,2
수제 맥주 만드는 방법을 구글에 검색해줘.,1
이 근처에 있는 피트니스 센터 위치를 구글에 검색해줘.,1
유튜브에서 그 유명한 배우의 인터뷰 영상 좀 찾아보자?,3
이곳 근처의 유명한 카페를 구글에 검색해줘서 커피를 마실 곳을 찾아보자.,1
넷플릭스 검색을 통해 가장 감동적인 스포츠 다큐멘터리를 찾아줘.,2
유튜브에서 그림 그리기 기초 강좌 좀 찾아보자?,3
유튜브에서 최신 스릴러 영화 예고편 검색해줘?,3
유튜브에서 VR 게임 리뷰 최신 영상 검색해줘?,3
넷플릭스 검색 기능을 사용해서 신작 드라마를 찾아봤어.,2
애플 TV에서 최신 SF 시리즈 뭐가 있는지 찾아볼까.,0
오늘 축구 경기 일정과 시간을 구글에 검색해줘서 시청 계획을 세워보자.,1
이번 주말에 볼만한 스릴러 영화 유튜브에서 추천 받아볼까?,3
내일의 일정을 구글에 검색해줘서 시간 관리를 더 효율적으로 해보자.,1
넷플릭스 검색으로 가장 인기 있는 한국 드라마를 찾아봤어.,2
넷플릭스에서 공포 영화 중에서 가장 무서운 것을 추천해봐.,2
유튜브에서 그 유명한 그래픽 디자이너의 튜토리얼 시리즈 찾아보자?,3
집에서 쉽게 할 수 있는 요가 동작을 구글에 검색해줘.,1
친구가 얘기한 그 스릴 넘치는 시리즈 애플 TV에서 찾아볼 수 있을까.,0
넷플릭스에서 가족과 함께 볼 만한 프로그램을 찾아줘.,2
넷플릭스에 있는 가장 평점 높은 영화는 무엇인지 알려줘.,2
이번 주말엔 애플 TV에서 새로 나온 다큐멘터리 뭐가 있나 찾아볼까.,0
넷플릭스 검색으로 과학 기술 다큐멘터리를 찾아봤어.,2
근처의 산책로에 대한 정보를 구글에 검색해줘.,1
어 유튜브에서 그 유명한 셰프의 요리 비디오 좀 찾아볼래?,3
이 근처의 동물 보호소 정보를 구글에 검색해줘서 입양 가능한 애완동물을 찾아보자.,1
그 유명한 배우가 나온 영화 애플 TV에서 찾아볼 수 있을까.,0
오늘 애플 TV에서 무슨 음악 콘서트가 진행돼.,0
저번 주에 넷플릭스에서 검색한 거 기억나.,2
최근에 출시된 스마트폰 모델을 구글에 검색해줘서 기능을 비교해봐.,1
어제 나온 그 음악 콘서트 애플 TV에서 다시 볼 수 있을까.,0
내일 날씨 예보를 구글에 검색해줘.,1
넷플릭스에서 검색한 드라마 중에서 가장 긴 영화는.,2
애플 TV에서 아이들과 함께 볼 수 있는 애니메이션 추천 좀 찾아보자.,0
유튜브에서 프랑스어 기초 강의 검색해줘?,3
오늘 저녁에 애플 TV에서 가볍게 볼 만한 가족 드라마 찾아보자.,0
유튜브에서 노르웨이의 숲 소설 리뷰 검색해줘?,3
애플 TV에서 어제 방영한 뉴스를 다시 보려고 해.,0
다음 주말에 할 일 목록을 구글에 검색해줘서 일정을 계획하자.,1
어린이를 위한 영양식 레시피를 구글에 검색해줘.,1
애플 TV에서 어린이용 교육 프로그램을 찾아봐줘.,0
넷플릭스에 있는 로맨스 시리즈 중에서 감동적인 것을 찾아봐줘.,2
스마트폰 최신 모델 비교 정보를 구글에 검색해줘.,1
유튜브에서 맛집 탐방 브이로그 좀 찾아볼래? 주말에 갈 곳 고르자?,3
유튜브에서 저번에 놓친 그 콘서트 하이라이트 찾아보자?,3
넷플릭스에서 요즘 인기 있는 드라마를 찾아봐줄래.,2
오늘 밤에 볼만한 흥미로운 다큐멘터리 애플 TV에서 찾아볼까.,0
비행기 티켓 예약 팁을 구글에 검색해줘.,1
주변의 아트 갤러리 전시를 구글에 검색해줘.,1
가까운 헬스클럽 회원 가입 조건을 구글에 검색해줘.,1
오늘 밤 넷플릭스에서 스릴러 영화를 검색해줘서 골라보자.,2
유튜브에서 최근에 나온 그 영화의 비하인드 스토리 찾아보자?,3
유튜브에서 그 유명한 작가의 강연 영상 찾아볼까?,3
애플 TV에서 최근 인기 있는 여행 브이로그 찾아보자.,0
가벼운 여름 읽을거리 추천을 구글에 검색해줘.,1
최근에 개봉한 영화 중에서 어떤 것을 관람해야 할지 구글에 검색해줘.,1
넷플릭스에서 검색한 영화 목록을 필터링해서 보여줄 수 있을까.,2
넷플릭스에서 최신 업데이트된 프로그램 목록을 보여줘.,2
넷플릭스에서 검색한 영화 목록을 필터링해서 보여줘.,2
애플 TV에서 최신 공포 영화 리스트 좀 찾아보려고.,0
애플 TV에서 이번 주말에 볼만한 새로운 영화 찾아볼까.,0
유튜브에서 태국 여행 가이드 비디오 검색해줘?,3
유튜브에서 그 유명한 쉐프의 라이브 요리쇼 찾아보자?,3
최근에 출시된 게임의 리뷰와 평가를 구글에 검색해줘서 어떤 게임을 구매할지 고민해보자.,1
친구가 얘기한 그 스릴러 시리즈 애플 TV에서 찾아볼까.,0
어 유튜브에서 그 유명한 마술사의 마술 트릭 영상 찾아보자?,3
유튜브에서 새로운 가전제품 언박싱 영상 찾아보자?,3
최근 인기 있는 K-팝 노래 유튜브에서 한번 찾아볼까?,3
남자 친구 생일 선물 추천을 구글에 검색해줘.,1
넷플릭스에서 검색한 영화 목록을 공유하고 싶어.,2
주말에 애플 TV에서 볼만한 감동적인 드라마 시리즈 찾아보고 싶어.,0
애플 TV에서 추천하는 아이들을 위한 교육적인 콘텐츠 찾아보자.,0
애플 TV에서 가장 인기 있는 TV 시리즈는 무엇인지 검색해봐.,0
유튜브에서 가장 인기 있는 운동 동영상 뭐가 있을까?,3
유튜브에서 그 유명한 작가의 인터뷰 영상 찾아보자 궁금하더라고?,3
유튜브에서 아이패드 드로잉 튜토리얼 검색해줘?,3
어제 놓친 뉴스 유튜브에서 요약본 찾아볼 수 있을까?,3
내일 밤에 볼 만한 애플 TV의 새로운 시리즈 찾아보자 뭔가 특별한 걸 찾고 싶어.,0
넷플릭스에서 검색한 결과 중에서 내가 관심 있는 주제를 가진 영화를 추천해줘.,2
저번에 봤던 그 재미있는 코미디 영화 리뷰 유튜브에서 다시 찾아볼 수 있을까?,3
오늘 밤에 애플 TV에서 볼만한 새로운 코미디 시리즈 있나 찾아보자.,0
넷플릭스 검색으로 나와 함께 볼 만한 영화를 추천해줄래.,2
집 근처에서 열리는 문화 행사 일정을 구글에 검색해줘.,1
올해의 베스트셀러 목록을 구글에 검색해줘.,1
애플 TV에서 추천하는 최신 애니메이션 시리즈 뭐가 있을까.,0
커피 만드는 법 유튜브에서 기초부터 배워보려고?,3
최신 가전제품 리뷰를 구글에 검색해줘.,1
애플 TV에서 이번 주 인기 있는 드라마 시리즈 찾아보자.,0
오늘 애플 TV로 어떤 콘서트를 검색해보고 싶어.,0
넷플릭스에서 원하는 배우가 출연한 작품을 찾아줘.,2
주말에 볼만한 가족 영화 애플 TV에서 찾아보자.,0
